imdb_rate,tomatoe_rate,imdb_votes_count,imdb_votes,popularity,movie_rate
6.6,8.1,190,6.5,1.6497330000000001,5.71243325
6.4,5.2,509,6.0,2.129874,4.932468500000001
6.7,1.7,1015,6.3,5.838503,5.13462575
7.0,6.1,287,6.8,0.8931209999999999,5.19828025
6.2,5.4,557,5.9,1.15929,4.6648225
6.4,8.7,65,6.3,0.441402,5.4603505
6.4,8.0,258,6.3,1.384508,5.521127000000001
6.7,2.7,358,6.2,1.949225,4.38730625
6.4,9.1,74,5.7,0.649628,5.462407000000001
6.2,8.0,219,5.2,1.2851059999999999,5.171276499999999
6.2,5.3,681,5.9,1.8152439999999999,4.803811
6.2,7.8,54,5.1,0.43762700000000004,4.884406749999999
6.3,8.4,265,5.9,0.9376200000000001,5.384405
6.1,5.7,692,5.8,1.846196,4.861549
7.0,6.7,36,6.9,0.34920300000000004,5.23730075
6.5,7.0,133,6.3,1.14644,5.23661
5.8,3.9,3533,5.6,2.9797860000000003,4.5699465
6.5,6.4,197,6.2,0.758133,4.964533250000001
6.6,4.6,234,6.1,0.464139,4.441034749999999
7.0,3.6,591,6.9,1.4703629999999999,4.74259075
6.2,4.2,248,5.7,0.9851639999999999,4.271291000000001
6.2,4.8,519,5.9,0.981031,4.47025775
6.9,8.8,59,6.5,0.191606,5.597901500000001
6.6,3.0,979,6.2,5.806897,5.40172425
7.4,7.1,36,7.6,0.06667000000000001,5.5416675
6.9,4.3,123,6.5,0.282881,4.495720250000001
6.7,3.9,179,6.1,0.528177,4.30704425
6.1,5.0,723,5.6,1.713611,4.60340275
6.4,4.1,612,6.0,1.926432,4.606608
7.7,5.9,26,6.7,0.348325,5.16208125
6.5,6.4,173,6.1,0.381751,4.84543775
6.5,5.0,273,6.1,1.108366,4.6770915
7.0,4.5,225,6.9,0.578282,4.7445705
5.8,8.0,339,5.5,1.517201,5.20430025
5.9,6.7,502,5.6,1.3092489999999999,4.877312250000001
7.2,9.5,20,7.3,0.07905,6.0197625
6.5,7.5,109,6.5,0.953111,5.36327775
6.2,4.5,490,5.6,1.2830059999999999,4.3957515
6.8,5.4,247,6.6,1.570083,5.09252075
6.4,4.6,404,5.3,0.7995899999999999,4.274897499999999
6.4,4.6,110,6.5,0.938766,4.6096915
6.7,6.7,133,6.4,0.8923559999999999,5.173089
6.0,7.4,139,5.5,1.213215,5.028303749999999
5.9,6.7,240,5.9,0.711674,4.8029185
5.8,4.7,229,5.4,0.958991,4.214747750000001
6.0,6.8,143,5.7,0.619369,4.77984225
6.5,4.2,74,6.2,0.396129,4.324032249999999
6.4,5.0,80,6.4,0.468045,4.56701125
6.5,2.9,516,6.5,0.82289,4.1807225
6.3,8.0,174,5.5,0.77107,5.142767500000001
6.3,6.7,23,6.5,0.31963600000000003,4.954909
6.6,5.3,21,6.3,0.43231899999999995,4.65807975
6.3,2.4,789,6.0,0.665367,3.8413417499999998
6.1,4.8,395,6.1,0.685491,4.42137275
6.2,2.0,756,6.1,2.17643,4.1191075
6.4,5.0,248,5.8,0.883228,4.5208070000000005
6.4,4.8,137,6.4,0.566943,4.54173575
6.4,3.6,341,6.8,0.912122,4.4280305
6.4,5.6,305,5.8,1.297769,4.774442249999999
6.4,6.5,279,6.1,0.9165780000000001,4.9791445
8.2,8.3,65,7.3,0.029945,5.9574862500000005
6.8,8.6,11,6.2,0.319907,5.4799767500000005
6.7,4.2,49,7.0,0.253319,4.53832975
6.8,8.0,97,6.2,0.668285,5.41707125
6.4,6.5,63,6.8,0.599079,5.074769750000001
6.1,4.3,362,5.4,0.561179,4.09029475
6.4,5.2,333,6.2,0.37054000000000004,4.542635
6.5,6.2,193,6.1,0.86636,4.91659
6.4,6.6,164,6.0,1.052381,5.01309525
5.4,1.7,31,5.6,0.31077899999999997,3.25269475
6.8,5.1,181,6.7,0.797723,4.849430750000001
5.8,4.3,535,5.8,1.498538,4.3496345
6.6,4.1,50,6.3,0.6340819999999999,4.4085205
6.8,3.4,149,6.4,0.756472,4.339118
5.8,4.4,854,5.4,1.0583420000000001,4.1645855
6.3,2.9,737,6.5,1.784073,4.37101825
6.3,6.5,221,6.2,0.49127299999999996,4.87281825
6.6,2.9,170,6.1,0.712173,4.07804325
5.7,3.6,1041,5.5,1.19533,3.9988325000000002
7.2,5.7,17,6.3,0.096955,4.82423875
6.3,2.0,1555,5.9,1.904422,4.0261055
7.0,8.2,19,7.4,0.21735300000000002,5.70433825
5.8,7.6,57,5.1,0.792471,4.82311775
5.4,8.1,366,5.4,1.594587,5.12364675
6.5,3.8,432,6.1,1.107689,4.37692225
6.6,5.2,160,5.7,0.644806,4.5362015
6.1,6.1,400,5.8,1.319416,4.829854
6.1,6.1,28,5.9,0.245902,4.586475500000001
6.5,1.9,719,6.2,2.578919,4.29472975
6.2,5.9,13,6.2,0.316739,4.65418475
5.6,5.0,718,5.4,1.606999,4.4017497500000005
6.7,4.4,161,6.1,0.905416,4.5263539999999995
6.7,4.6,192,6.3,0.778247,4.5945617499999996
6.1,7.0,193,5.6,0.707968,4.851992
5.6,7.4,31,5.4,0.257275,4.66431875
6.5,4.1,568,6.2,0.72458,4.381145
5.7,3.7,542,5.6,1.7663970000000002,4.19159925
6.8,5.7,16,7.1,0.31364699999999995,4.97841175
6.8,6.1,75,7.1,0.340767,5.08519175
6.2,2.8,363,5.9,0.767076,3.9167689999999995
6.3,3.8,689,6.0,1.0488950000000001,4.287223750000001
7.7,8.8,21,5.6,0.174183,5.56854575
6.3,5.1,297,5.9,1.145724,4.6114310000000005
6.3,6.0,22,6.4,0.040688999999999996,4.68517225
6.2,5.3,144,5.6,0.555793,4.41394825
6.4,7.0,42,6.6,0.251658,5.0629145
